_MEMBER_LN_meta,_MEMBER_N0,_LogP_LN_meta,_LogP_N0,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,1,0,-2.1,R-HSA-69231,Cyclin D associated events in G1,M01,1,0.18
1,0,-2.5,0,R-HSA-193704,p75 NTR receptor-mediated signalling,M10,1,0.22
0,1,0,-2.7,hsa05131,Shigellosis,M01,1,0.23
0,1,0,-3.4,R-HSA-937061,TRIF(TICAM1)-mediated TLR4 signaling ,M01,1,0.27
0,1,0,-4,R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",M01,1,0.3
1,0,-2.7,0,R-HSA-189483,Heme degradation,M10,1,0.23
0,1,0,-2.6,ko04722,Neurotrophin signaling pathway,M01,1,0.23
1,0,-4,0,R-HSA-9663891,Selective autophagy,M10,1,0.3
1,0,-2.4,0,R-HSA-8964043,Plasma lipoprotein clearance,M10,1,0.21
1,0,-4.3,0,R-HSA-8948216,Collagen chain trimerization,M10,1,0.31
0,1,0,-2.9,R-HSA-8854691,Interleukin-20 family signaling,M01,1,0.25
0,1,0,-12,R-HSA-202433,Generation of second messenger molecules,M01,1,0.42
1,0,-2.1,0,R-HSA-1483249,Inositol phosphate metabolism,M10,1,0.17
0,1,0,-2.7,R-HSA-6802949,Signaling by RAS mutants,M01,1,0.23
1,0,-2.2,0,hsa05120,Epithelial cell signaling in Helicobacter pylori infection ,M10,1,0.19
1,0,-2.2,0,ko05034,Alcoholism,M10,1,0.19
1,0,-6,0,ko03320,PPAR signaling pathway,M10,1,0.36
0,1,0,-2.7,hsa05145,Toxoplasmosis,M01,1,0.23
1,0,-5.5,0,R-HSA-1630316,Glycosaminoglycan metabolism,M10,1,0.35
0,1,0,-5.5,ko05144,Malaria,M01,1,0.35
0,1,0,-2.2,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,M01,1,0.19
0,1,0,-5,R-HSA-416476,G alpha (q) signalling events,M01,1,0.33
1,0,-2.6,0,ko05218,Melanoma,M10,1,0.22
1,0,-2.6,0,R-HSA-71288,Creatine metabolism,M10,1,0.22
1,0,-12,0,R-HSA-72649,Translation initiation complex formation,M10,1,0.42
0,1,0,-2.8,ko04720,Long-term potentiation,M01,1,0.24
0,1,0,-5.6,R-HSA-9020958,Interleukin-21 signaling,M01,1,0.35
1,0,-7.9,0,hsa05410,Hypertrophic cardiomyopathy (HCM) ,M10,1,0.39
0,1,0,-2.7,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,M01,1,0.23
1,0,-2.2,0,ko00760,Nicotinate and nicotinamide metabolism,M10,1,0.19
1,0,-3.3,0,R-HSA-9673324,WNT5:FZD7-mediated leishmania damping,M10,1,0.27
0,1,0,-3.4,R-HSA-9005895,Pervasive developmental disorders,M01,1,0.27
0,1,0,-10,hsa04062,Chemokine signaling pathway ,M01,1,0.41
0,1,0,-3.6,hsa05143,African trypanosomiasis,M01,1,0.28
1,0,-24,0,R-HSA-72737,Cap-dependent Translation Initiation,M10,1,0.46
1,0,-12,0,ko05204,Chemical carcinogenesis,M10,1,0.42
1,0,-10,0,R-HSA-72766,Translation,M10,1,0.41
0,1,0,-17,hsa04060,Cytokine-cytokine receptor interaction ,M01,1,0.44
0,1,0,-3.4,R-HSA-9675151,Disorders of Developmental Biology,M01,1,0.27
0,1,0,-12,hsa05332,Graft-versus-host disease ,M01,1,0.42
1,0,-2.4,0,hsa_M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",M10,1,0.21
0,1,0,-2.6,R-HSA-418597,G alpha (z) signalling events,M01,1,0.23
1,0,-2.6,0,R-HSA-2028269,Signaling by Hippo,M10,1,0.23
1,0,-3.6,0,R-HSA-3000480,Scavenging by Class A Receptors,M10,1,0.28
0,1,0,-2.9,R-HSA-109606,Intrinsic Pathway for Apoptosis,M01,1,0.24
1,0,-2.7,0,ko00592,alpha-Linolenic acid metabolism,M10,1,0.23
1,0,-2.8,0,hsa00561,Glycerolipid metabolism ,M10,1,0.24
0,1,0,-3.5,R-HSA-5627117,RHO GTPases Activate ROCKs,M01,1,0.28
0,1,0,-3.1,R-HSA-9013423,RAC3 GTPase cycle,M01,1,0.26
1,0,-2.3,0,R-HSA-8850843,Phosphate bond hydrolysis by NTPDase proteins,M10,1,0.2
1,0,-2,0,R-HSA-1643713,Signaling by EGFR in Cancer,M10,1,0.17
1,0,-12,0,R-HSA-72702,Ribosomal scanning and start codon recognition,M10,1,0.42
0,1,0,-3.1,R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,M01,1,0.26
1,0,-2.1,0,R-HSA-525793,Myogenesis,M10,1,0.18
0,1,0,-2.6,R-HSA-8876384,Listeria monocytogenes entry into host cells,M01,1,0.22
0,1,0,-2.9,R-HSA-400685,Sema4D in semaphorin signaling,M01,1,0.25
0,1,0,-2.6,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,M01,1,0.22
0,1,0,-8.7,R-HSA-195258,RHO GTPase Effectors,M01,1,0.4
1,0,-2.1,0,R-HSA-9646399,Aggrephagy,M10,1,0.18
1,0,-3,0,ko02010,ABC transporters,M10,1,0.25
0,1,0,-3,R-HSA-5668599,RHO GTPases Activate NADPH Oxidases,M01,1,0.25
0,1,0,-3.5,R-HSA-168898,Toll-like Receptor Cascades,M01,1,0.28
0,1,0,-2.2,hsa_M00075,"N-glycan biosynthesis, complex type",M01,1,0.18
0,1,0,-2.1,R-HSA-9020933,Interleukin-23 signaling,M01,1,0.18
0,1,0,-6.1,R-HSA-389948,PD-1 signaling,M01,1,0.36
1,0,-3,0,R-HSA-2022854,Keratan sulfate biosynthesis,M10,1,0.25
1,0,-2.7,0,R-HSA-6807878,COPI-mediated anterograde transport,M10,1,0.23
1,0,-2.1,0,ko04350,TGF-beta signaling pathway,M10,1,0.18
0,1,0,-2.4,R-HSA-5663220,RHO GTPases Activate Formins,M01,1,0.21
1,0,-3.4,0,hsanan03,glycosphingolipid biosynthesis,M10,1,0.27
1,0,-2.3,0,R-HSA-192105,Synthesis of bile acids and bile salts,M10,1,0.2
1,0,-4,0,R-HSA-375165,NCAM signaling for neurite out-growth,M10,1,0.3
0,1,0,-30,R-HSA-1280218,Adaptive Immune System,M01,1,0.47
0,1,0,-8.4,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,M01,1,0.39
1,0,-2.2,0,R-HSA-5205647,Mitophagy,M10,1,0.19
0,1,0,-3.8,R-HSA-416482,G alpha (12/13) signalling events,M01,1,0.29
0,1,0,-2.7,ko04664,Fc epsilon RI signaling pathway,M01,1,0.23
1,0,-2.8,0,hsa00350,Tyrosine metabolism ,M10,1,0.24
1,0,-2.4,0,R-HSA-1632852,Macroautophagy,M10,1,0.21
0,1,0,-3.6,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,M01,1,0.28
0,1,0,-6.4,R-HSA-877300,Interferon gamma signaling,M01,1,0.36
1,0,-4.2,0,hsa01524,Platinum drug resistance,M10,1,0.31
1,0,-5.5,0,R-HSA-196854,Metabolism of vitamins and cofactors,M10,1,0.35
0,1,0,-9,hsa05340,Primary immunodeficiency ,M01,1,0.4
1,0,-4.2,0,hsa00010,Glycolysis / Gluconeogenesis ,M10,1,0.31
1,0,-5.9,0,R-HSA-1474290,Collagen formation,M10,1,0.35
1,0,-3.2,0,ko01521,EGFR tyrosine kinase inhibitor resistance,M10,1,0.26
0,1,0,-5.6,R-HSA-2682334,EPH-Ephrin signaling,M01,1,0.35
0,1,0,-11,hsa05330,Allograft rejection ,M01,1,0.42
1,0,-16,0,R-HSA-9711097,Cellular response to starvation,M10,1,0.44
0,1,0,-4.3,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,M01,1,0.31
0,1,0,-2.5,R-HSA-5357786,TNFR1-induced proapoptotic signaling,M01,1,0.22
1,0,-26,0,R-HSA-156902,Peptide chain elongation,M10,1,0.46
1,0,-2,0,ko01523,Antifolate resistance,M10,1,0.17
1,0,-2.3,0,R-HSA-445355,Smooth Muscle Contraction,M10,1,0.2
1,0,-3.1,0,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series ,M10,1,0.26
0,1,0,-6.7,R-HSA-913531,Interferon Signaling,M01,1,0.37
1,0,-2.1,0,R-HSA-8874081,MET activates PTK2 signaling,M10,1,0.18
1,0,-8,0,hsa04512,ECM-receptor interaction ,M10,1,0.39
0,1,0,-2.7,hsa04115,p53 signaling pathway ,M01,1,0.23
0,1,0,-2.3,R-HSA-9022692,Regulation of MECP2 expression and activity,M01,1,0.2
1,0,-3.1,0,R-HSA-212718,EGFR interacts with phospholipase C-gamma,M10,1,0.25
0,1,0,-5.5,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M01,1,0.35
0,1,0,-2.7,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M01,1,0.23
1,0,-2.8,0,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",M10,1,0.24
1,0,-3,0,R-HSA-428359,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,M10,1,0.25
0,1,0,-6.7,hsa04630,Jak-STAT signaling pathway ,M01,1,0.37
0,1,0,-3.6,R-HSA-975871,MyD88 cascade initiated on plasma membrane,M01,1,0.28
1,0,-2.4,0,hsa04911,Insulin secretion,M10,1,0.21
1,0,-3.5,0,R-HSA-913709,O-linked glycosylation of mucins,M10,1,0.28
1,0,-8,0,ko04512,ECM-receptor interaction,M10,1,0.39
0,1,0,-6.1,R-HSA-1236975,Antigen processing-Cross presentation,M01,1,0.36
1,0,-2.7,0,ko04910,Insulin signaling pathway,M10,1,0.23
1,0,-2.2,0,hsa04917,Prolactin signaling pathway,M10,1,0.18
1,0,-2.6,0,R-HSA-3299685,Detoxification of Reactive Oxygen Species,M10,1,0.22
1,0,-6.2,0,R-HSA-1474228,Degradation of the extracellular matrix,M10,1,0.36
1,0,-15,0,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,M10,1,0.44
1,0,-8.6,0,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M10,1,0.4
1,0,-2,0,ko00410,beta-Alanine metabolism,M10,1,0.17
1,0,-4.5,0,R-HSA-3772470,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,M10,1,0.32
0,1,0,-3.6,R-HSA-114604,GPVI-mediated activation cascade,M01,1,0.28
1,0,-2.4,0,M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",M10,1,0.2
1,0,-2.4,0,R-HSA-1250196,SHC1 events in ERBB2 signaling,M10,1,0.2
1,0,-4.8,0,ko05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),M10,1,0.33
0,1,0,-3.4,R-HSA-9005891,Loss of function of MECP2 in Rett syndrome,M01,1,0.27
0,1,0,-2.1,R-HSA-1247673,Erythrocytes take up oxygen and release carbon dioxide,M01,1,0.18
0,1,0,-3.9,R-HSA-5626467,RHO GTPases activate IQGAPs,M01,1,0.3
0,1,0,-5.6,R-HSA-111885,Opioid Signalling,M01,1,0.35
1,0,-2.2,0,R-HSA-8863795,Downregulation of ERBB2 signaling,M10,1,0.19
0,1,0,-2.4,R-HSA-72163,mRNA Splicing - Major Pathway,M01,1,0.2
1,0,-2.3,0,ko05215,Prostate cancer,M10,1,0.2
0,1,0,-5.7,R-HSA-5357801,Programmed Cell Death,M01,1,0.35
1,0,-4.8,0,hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC) ,M10,1,0.33
1,0,-2.1,0,R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),M10,1,0.18
1,0,-2,0,R-HSA-199977,ER to Golgi Anterograde Transport,M10,1,0.17
1,0,-10,0,hsa05418,Fluid shear stress and atherosclerosis,M10,1,0.41
1,0,-3.4,0,R-HSA-3000157,Laminin interactions,M10,1,0.27
0,1,0,-3.5,R-HSA-8964616,G beta:gamma signalling through CDC42,M01,1,0.28
0,1,0,-2.4,R-HSA-397795,G-protein beta:gamma signalling,M01,1,0.2
0,1,0,-2.5,R-HSA-5674135,MAP2K and MAPK activation,M01,1,0.21
1,0,-3,0,R-HSA-373752,Netrin-1 signaling,M10,1,0.25
0,1,0,-4,R-HSA-9013404,RAC2 GTPase cycle,M01,1,0.3
0,1,0,-2.9,ko05211,Renal cell carcinoma,M01,1,0.24
1,0,-6.4,0,hsa04933,AGE-RAGE signaling pathway in diabetic complications,M10,1,0.37
1,0,-2.1,0,R-HSA-5682910,LGI-ADAM interactions,M10,1,0.17
1,0,-2.8,0,R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO,M10,1,0.24
1,0,-2.6,0,R-HSA-9032500,Activated NTRK2 signals through FYN,M10,1,0.22
1,0,-2.7,0,hsa00592,alpha-Linolenic acid metabolism ,M10,1,0.23
0,1,0,-3.1,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,M01,1,0.26
1,0,-2.7,0,ko04540,Gap junction,M10,1,0.23
1,0,-2.3,0,R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,M10,1,0.2
1,0,-13,0,ko03010,Ribosome,M10,1,0.43
0,1,0,-8.8,ko05321,Inflammatory bowel disease (IBD),M01,1,0.4
0,1,0,-2.6,hsa04921,Oxytocin signaling pathway,M01,1,0.22
0,1,0,-3.4,R-HSA-166166,MyD88-independent TLR4 cascade ,M01,1,0.27
1,0,-5.5,0,R-HSA-3781865,Diseases of glycosylation,M10,1,0.35
0,1,0,-3.5,R-HSA-5620971,Pyroptosis,M01,1,0.28
1,0,-2.3,0,hsa04930,Type II diabetes mellitus ,M10,1,0.2
0,1,0,-11,R-HSA-372790,Signaling by GPCR,M01,1,0.42
1,0,-2.7,0,R-HSA-8848021,Signaling by PTK6,M10,1,0.23
1,0,-2.4,0,R-HSA-418990,Adherens junctions interactions,M10,1,0.21
1,0,-3.8,0,hsa04211,Longevity regulating pathway,M10,1,0.29
1,0,-2.6,0,hsa_M00047,Creatine pathway,M10,1,0.22
1,0,-3.8,0,R-HSA-5621480,Dectin-2 family,M10,1,0.29
1,0,-2.6,0,hsa05218,Melanoma ,M10,1,0.22
0,1,0,-2.5,R-HSA-389513,CTLA4 inhibitory signaling,M01,1,0.22
0,1,0,-28,R-HSA-1280215,Cytokine Signaling in Immune system,M01,1,0.47
1,0,-3.4,0,ko04974,Protein digestion and absorption,M10,1,0.27
0,1,0,-4.7,ko05203,Viral carcinogenesis,M01,1,0.32
1,0,-4.1,0,ko04550,Signaling pathways regulating pluripotency of stem cells,M10,1,0.3
0,1,0,-4,R-HSA-3858494,Beta-catenin independent WNT signaling,M01,1,0.3
1,0,-11,0,hsa00982,Drug metabolism - cytochrome P450 ,M10,1,0.42
0,1,0,-4.1,hsa04611,Platelet activation,M01,1,0.3
1,0,-14,0,R-HSA-8868773,rRNA processing in the nucleus and cytosol,M10,1,0.43
1,0,-2.4,0,ko05230,Central carbon metabolism in cancer,M10,1,0.21
0,1,0,-8.8,R-HSA-451927,Interleukin-2 family signaling,M01,1,0.4
0,1,0,-2.4,hsa04971,Gastric acid secretion,M01,1,0.2
1,0,-4.7,0,R-HSA-216083,Integrin cell surface interactions,M10,1,0.32
1,0,-25,0,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,M10,1,0.46
1,0,-2.7,0,hsa04540,Gap junction ,M10,1,0.23
1,0,-2.7,0,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,M10,1,0.23
1,0,-10,0,R-HSA-8953897,Cellular responses to external stimuli,M10,1,0.41
0,1,0,-6.9,R-HSA-380108,Chemokine receptors bind chemokines,M01,1,0.37
1,0,-2.2,0,ko04020,Calcium signaling pathway,M10,1,0.18
1,0,-2.9,0,ko04915,Estrogen signaling pathway,M10,1,0.24
1,0,-2.2,0,R-HSA-210500,Glutamate Neurotransmitter Release Cycle,M10,1,0.18
1,0,-5.9,0,ko05414,Dilated cardiomyopathy,M10,1,0.35
1,0,-2.2,0,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,M10,1,0.18
1,0,-2,0,ko04657,IL-17 signaling pathway,M10,1,0.17
1,0,-4.3,0,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,M10,1,0.31
1,0,-3.2,0,hsa01521,EGFR tyrosine kinase inhibitor resistance,M10,1,0.26
1,0,-7,0,R-HSA-421270,Cell-cell junction organization,M10,1,0.38
1,0,-4.3,0,R-HSA-8978868,Fatty acid metabolism,M10,1,0.31
0,1,0,-3.3,hsa04210,Apoptosis ,M01,1,0.27
1,0,-4.2,0,R-HSA-983712,Ion channel transport,M10,1,0.31
1,0,-2.3,0,hsa04925,aldosterone synthesis and secretion,M10,1,0.2
1,0,-3,0,R-HSA-5083632,Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS),M10,1,0.25
0,1,0,-12,hsa04612,Antigen processing and presentation ,M01,1,0.42
1,0,-3.1,0,R-HSA-5083636,Defective GALNT12 causes colorectal cancer 1 (CRCS1),M10,1,0.26
0,1,0,-3.3,ko04210,Apoptosis,M01,1,0.27
1,0,-2.4,0,R-HSA-9026527,Activated NTRK2 signals through PLCG1,M10,1,0.21
1,0,-5.1,0,R-HSA-71387,Metabolism of carbohydrates,M10,1,0.34
0,1,0,-4.4,R-HSA-5675221,Negative regulation of MAPK pathway,M01,1,0.32
0,1,0,-9.4,R-HSA-9020591,Interleukin-12 signaling,M01,1,0.4
1,0,-2.3,0,R-HSA-1482788,Acyl chain remodelling of PC,M10,1,0.2
1,0,-12,0,R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",M10,1,0.42
0,1,0,-8.7,R-HSA-2172127,DAP12 interactions,M01,1,0.4
0,1,0,-12,ko04658,Th1 and Th2 cell differentiation,M01,1,0.42
0,1,0,-2.8,R-HSA-9020702,Interleukin-1 signaling,M01,1,0.23
1,0,-2.9,0,R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,M10,1,0.24
1,0,-3.3,0,M00004,Pentose phosphate pathway (Pentose phosphate cycle),M10,1,0.27
0,1,0,-3.2,R-HSA-8875360,InlB-mediated entry of Listeria monocytogenes into host cell,M01,1,0.26
0,1,0,-2.5,R-HSA-3928663,EPHA-mediated growth cone collapse,M01,1,0.22
0,1,0,-2.1,R-HSA-9013694,Signaling by NOTCH4,M01,1,0.18
1,0,-24,0,R-HSA-72613,Eukaryotic Translation Initiation,M10,1,0.46
0,1,0,-2.4,R-HSA-445717,Aquaporin-mediated transport,M01,1,0.21
1,0,-3.2,0,R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,M10,1,0.26
1,0,-12,0,hsa00980,Metabolism of xenobiotics by cytochrome P450 ,M10,1,0.42
1,0,-8.9,0,hsanan01,drug metabolism,M10,1,0.4
1,0,-13,0,R-HSA-72312,rRNA processing,M10,1,0.43
1,0,-8,0,R-HSA-156590,Glutathione conjugation,M10,1,0.39
1,0,-2.1,0,hsa00030,Pentose phosphate pathway ,M10,1,0.18
1,0,-2.2,0,hsa04213,Longevity regulating pathway - multiple species,M10,1,0.18
1,0,-5.9,0,R-HSA-373760,L1CAM interactions,M10,1,0.36
0,1,0,-9.2,R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",M01,1,0.4
1,0,-4.8,0,R-HSA-5668914,Diseases of metabolism,M10,1,0.33
1,0,-3.7,0,hsa04550,Signaling pathways regulating pluripotency of stem cells,M10,1,0.29
1,0,-25,0,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,M10,1,0.46
1,0,-2.1,0,ko04912,GnRH signaling pathway,M10,1,0.17
1,0,-2,0,R-HSA-9664565,Signaling by ERBB2 KD Mutants,M10,1,0.17
0,1,0,-2,R-HSA-8939902,Regulation of RUNX2 expression and activity,M01,1,0.17
0,1,0,-2.1,R-HSA-195253,Degradation of beta-catenin by the destruction complex,M01,1,0.18
0,1,0,-7.7,R-HSA-5673001,RAF/MAP kinase cascade,M01,1,0.39
1,0,-6.7,0,R-HSA-2129379,Molecules associated with elastic fibres,M10,1,0.37
1,0,-2.2,0,ko00591,Linoleic acid metabolism,M10,1,0.19
1,0,-2.2,0,ko04970,Salivary secretion,M10,1,0.18
1,0,-2.3,0,R-HSA-5576892,Phase 0 - rapid depolarisation,M10,1,0.2
0,1,0,-4.7,hsa04064,NF-kappa B signaling pathway,M01,1,0.32
1,0,-3.9,0,hsa05224,Breast cancer,M10,1,0.3
1,0,-4.7,0,ko04610,Complement and coagulation cascades,M10,1,0.32
0,1,0,-17,ko04650,Natural killer cell mediated cytotoxicity,M01,1,0.44
0,1,0,-2.5,R-HSA-879415,Advanced glycosylation endproduct receptor signaling,M01,1,0.22
0,1,0,-2,hsa04924,Renin secretion,M01,1,0.17
1,0,-2.1,0,R-HSA-1306955,GRB7 events in ERBB2 signaling,M10,1,0.18
0,1,0,-5.9,R-HSA-202424,Downstream TCR signaling,M01,1,0.35
1,0,-2.8,0,ko00350,Tyrosine metabolism,M10,1,0.24
1,0,-2.6,0,hsa01522,Endocrine resistance,M10,1,0.22
0,1,0,-2.9,hsa05211,Renal cell carcinoma ,M01,1,0.24
0,1,0,-2.5,R-HSA-162906,HIV Infection,M01,1,0.22
1,0,-4.7,0,hsa04610,Complement and coagulation cascades ,M10,1,0.32
1,0,-2.4,0,R-HSA-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,M10,1,0.2
1,0,-5.3,0,ko00590,Arachidonic acid metabolism,M10,1,0.34
0,1,0,-2.5,R-HSA-114452,Activation of BH3-only proteins,M01,1,0.22
0,1,0,-3.5,R-HSA-500792,GPCR ligand binding,M01,1,0.28
0,1,0,-5.6,R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),M01,1,0.35
0,1,0,-2,R-HSA-6806003,Regulation of TP53 Expression and Degradation,M01,1,0.17
1,0,-2.3,0,hsa05210,Colorectal cancer ,M10,1,0.2
1,0,-5,0,R-HSA-420029,Tight junction interactions,M10,1,0.33
1,0,-2.8,0,hsa04392,Hippo signaling pathway -multiple species,M10,1,0.24
0,1,0,-3.6,R-HSA-162909,Host Interactions of HIV factors,M01,1,0.28
1,0,-6.7,0,ko04933,AGE-RAGE signaling pathway in diabetic complications,M10,1,0.37
1,0,-4.8,0,ko00565,Ether lipid metabolism,M10,1,0.33
1,0,-2.8,0,R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",M10,1,0.24
1,0,-5.6,0,R-HSA-975634,Retinoid metabolism and transport,M10,1,0.35
1,0,-5.1,0,R-HSA-6806667,Metabolism of fat-soluble vitamins,M10,1,0.34
1,0,-2.9,0,R-HSA-5336415,Uptake and function of diphtheria toxin,M10,1,0.24
1,0,-27,0,R-HSA-72689,Formation of a pool of free 40S subunits,M10,1,0.46
0,1,0,-3,R-HSA-428930,Thromboxane signalling through TP receptor,M01,1,0.25
0,1,0,-3,hsa00232,Caffeine metabolism,M01,1,0.25
1,0,-2.5,0,ko05212,Pancreatic cancer,M10,1,0.21
1,0,-2.9,0,R-HSA-166663,Initial triggering of complement,M10,1,0.25
1,0,-2.8,0,ko04392,Hippo signaling pathway -multiple species,M10,1,0.24
1,0,-20,0,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,M10,1,0.45
0,1,0,-3.3,R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,M01,1,0.27
0,1,0,-3.8,R-HSA-3700989,Transcriptional Regulation by TP53,M01,1,0.29
1,0,-8.6,0,hsa00480,Glutathione metabolism ,M10,1,0.4
0,1,0,-3.4,R-HSA-8878171,Transcriptional regulation by RUNX1,M01,1,0.28
1,0,-5.3,0,hsa00590,Arachidonic acid metabolism ,M10,1,0.34
1,0,-2.1,0,hsa05034,Alcoholism,M10,1,0.17
1,0,-4.8,0,R-HSA-2672351,Stimuli-sensing channels,M10,1,0.33
1,0,-2.4,0,R-HSA-196757,Metabolism of folate and pterines,M10,1,0.2
1,0,-2.5,0,hsa00330,Arginine and proline metabolism ,M10,1,0.22
0,1,0,-3.2,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M01,1,0.26
0,1,0,-3.9,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M01,1,0.3
1,0,-2.5,0,hsa05212,Pancreatic cancer ,M10,1,0.21
0,1,0,-2.5,R-HSA-416572,Sema4D induced cell migration and growth-cone collapse,M01,1,0.22
1,0,-26,0,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,M10,1,0.46
0,1,0,-4.4,ko04621,NOD-like receptor signaling pathway,M01,1,0.32
1,0,-23,0,R-HSA-72764,Eukaryotic Translation Termination,M10,1,0.46
0,1,0,-3.3,R-HSA-5357956,TNFR1-induced NFkappaB signaling pathway,M01,1,0.27
1,0,-4.2,0,ko00010,Glycolysis / Gluconeogenesis,M10,1,0.31
0,1,0,-13,hsa04658,Th1 and Th2 cell differentiation,M01,1,0.43
1,0,-2.4,0,R-HSA-166658,Complement cascade,M10,1,0.21
1,0,-2.6,0,M00047,Creatine pathway,M10,1,0.22
0,1,0,-3.1,hsa05164,Influenza A,M01,1,0.26
1,0,-3.6,0,hsa04261,Adrenergic signaling in cardiomyocytes,M10,1,0.28
0,1,0,-4.8,ko04064,NF-kappa B signaling pathway,M01,1,0.33
1,0,-4.5,0,R-HSA-1442490,Collagen degradation,M10,1,0.32
0,1,0,-2,R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",M01,1,0.17
0,1,0,-8,R-HSA-5684996,MAPK1/MAPK3 signaling,M01,1,0.39
0,1,0,-3.3,R-HSA-195721,Signaling by WNT,M01,1,0.26
0,1,0,-3.2,ko04728,Dopaminergic synapse,M01,1,0.26
0,1,0,-2.4,R-HSA-975110,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,M01,1,0.21
0,1,0,-2.9,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,M01,1,0.24
0,1,0,-8.9,R-HSA-447115,Interleukin-12 family signaling,M01,1,0.4
1,0,-2.8,0,ko00830,Retinol metabolism,M10,1,0.24
0,1,0,-8,ko05162,Measles,M01,1,0.39
1,0,-2.8,0,hsa00340,Histidine metabolism ,M10,1,0.24
1,0,-3.3,0,hsa_M00004,Pentose phosphate pathway (Pentose phosphate cycle),M10,1,0.27
0,1,0,-3.1,R-HSA-392517,Rap1 signalling,M01,1,0.26
1,0,-2.2,0,hsa04330,Notch signaling pathway ,M10,1,0.19
1,0,-2.2,0,R-HSA-977225,Amyloid fiber formation,M10,1,0.19
1,0,-2.5,0,ko00330,Arginine and proline metabolism,M10,1,0.22
1,0,-4.3,0,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",M10,1,0.31
0,1,0,-2.9,R-HSA-75893,TNF signaling,M01,1,0.24
0,1,0,-3.6,hsa04623,Cytosolic DNA-sensing pathway ,M01,1,0.28
1,0,-3.4,0,R-HSA-2142850,Hyaluronan biosynthesis and export,M10,1,0.27
1,0,-2.3,0,ko05210,Colorectal cancer,M10,1,0.2
1,0,-2.2,0,hsa00760,Nicotinate and nicotinamide metabolism ,M10,1,0.19
1,0,-4.3,0,R-HSA-71384,Ethanol oxidation,M10,1,0.31
0,1,0,-2.8,R-HSA-6806834,Signaling by MET,M01,1,0.23
1,0,-4.9,0,hsa04931,insulin resistance,M10,1,0.33
0,1,0,-4,R-HSA-422356,Regulation of insulin secretion,M01,1,0.3
