Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa04510,Focal adhesion ,,-7.9,2.4,6.5,28162,199,2791,47,1.7,0.24,208|595|859|1101|1278|1282|1284|1285|1291|1292|1293|1311|1950|1956|2064|2277|2318|2335|3381|3479|3679|3696|3725|3908|3911|3913|4633|5156|5159|5228|5599|5602|5881|6696|6714|7059|7060|7148|7414|7422|8515|8516|10298|22801|29895|55742|80310,AKT2|CCND1|CAV3|CHAD|COL1A2|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|COMP|EGF|EGFR|ERBB2|VEGFD|FLNC|FN1|IBSP|IGF1|ITGA7|ITGB8|JUN|LAMA2|LAMA5|LAMB2|MYL2|PDGFRA|PDGFRB|PGF|MAPK8|MAPK10|RAC3|SPP1|SRC|THBS3|THBS4|TNXB|VCL|VEGFA|ITGA10|ITGA8|PAK4|ITGA11|MYLPF|PARVA|PDGFD,-6.5,LN_meta
KEGG Pathway,24,hsa05410,Hypertrophic cardiomyopathy (HCM) ,,-7.9,3.3,6.9,28162,83,2791,27,0.97,0.19,70|775|776|781|785|1605|1636|1674|3479|3569|3679|3696|3908|4633|5563|6442|6444|6445|6546|7043|7137|7168|7169|8515|8516|22801|53632,ACTC1|CACNA1C|CACNA1D|CACNA2D1|CACNB4|DAG1|ACE|DES|IGF1|IL6|ITGA7|ITGB8|LAMA2|MYL2|PRKAA2|SGCA|SGCD|SGCG|SLC8A1|TGFB3|TNNI3|TPM1|TPM2|ITGA10|ITGA8|ITGA11|PRKAG3,-6.5,LN_meta
KEGG Pathway,24,ko05410,Hypertrophic cardiomyopathy (HCM),,-7.9,3.3,6.9,28162,83,2791,27,0.97,0.19,70|775|776|781|785|1605|1636|1674|3479|3569|3679|3696|3908|4633|5563|6442|6444|6445|6546|7043|7137|7168|7169|8515|8516|22801|53632,ACTC1|CACNA1C|CACNA1D|CACNA2D1|CACNB4|DAG1|ACE|DES|IGF1|IL6|ITGA7|ITGB8|LAMA2|MYL2|PRKAA2|SGCA|SGCD|SGCG|SLC8A1|TGFB3|TNNI3|TPM1|TPM2|ITGA10|ITGA8|ITGA11|PRKAG3,-6.5,LN_meta
KEGG Pathway,24,ko04151,PI3K-Akt signaling pathway,,-7.4,2,6,28162,342,2791,67,2.4,0.29,208|284|468|595|598|898|1019|1101|1128|1278|1282|1284|1285|1291|1292|1293|1311|1436|1441|1902|1950|1956|2255|2256|2258|2259|2260|2264|2277|2309|2335|2690|2788|3381|3479|3569|3643|3679|3696|3908|3911|3913|4254|4609|5106|5156|5159|5228|5563|6696|6850|7059|7060|7099|7148|7249|7422|7532|8515|8516|9180|9586|9965|22801|80310|90993|148327,AKT2|ANGPT1|ATF4|CCND1|BCL2L1|CCNE1|CDK4|CHAD|CHRM1|COL1A2|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|COMP|CSF1R|CSF3R|LPAR1|EGF|EGFR|FGF10|FGF11|FGF13|FGF14|FGFR1|FGFR4|VEGFD|FOXO3|FN1|GHR|GNG7|IBSP|IGF1|IL6|INSR|ITGA7|ITGB8|LAMA2|LAMA5|LAMB2|KITLG|MYC|PCK2|PDGFRA|PDGFRB|PGF|PRKAA2|SPP1|SYK|THBS3|THBS4|TLR4|TNXB|TSC2|VEGFA|YWHAG|ITGA10|ITGA8|OSMR|CREB5|FGF19|ITGA11|PDGFD|CREB3L1|CREB3L4,-6,LN_meta
Reactome Gene Sets,6,R-HSA-9012999,RHO GTPase cycle,,-7,1.8,5.8,28162,443,2791,80,2.9,0.32,27|29|70|224|388|395|1080|1627|1730|1795|1829|2873|2886|3728|4688|5756|5881|6242|6711|7204|7431|7919|8476|8976|8997|9181|9322|9578|9590|9732|9754|9826|9828|9886|10144|10152|10211|10276|10298|10435|10458|10787|10810|10979|11135|23129|23580|23779|25791|25894|26030|26286|27145|27237|50649|51566|55160|55200|55240|55701|55704|55971|57216|57480|57522|57572|57630|79658|79834|83478|85415|94134|114822|115703|124997|153478|171177|200894|222584|445582,ABL2|ABR|ACTC1|ALDH3A2|RHOB|ARHGAP6|CFTR|DBN1|DIAPH2|DOCK3|DSG2|GPS1|GRB7|JUP|NCF2|TWF1|RAC3|RTKN|SPTBN1|TRIO|VIM|DDX39B|CDC42BPA|WASL|KALRN|ARHGEF2|TRIP10|CDC42BPB|AKAP12|DOCK4|STARD8|ARHGEF11|ARHGEF17|RHOBTB1|FAM13A|ABI2|FLOT1|NET1|PAK4|CDC42EP2|BAIAP2|NCKAP1|WASF3|FERMT2|CDC42EP1|PLXND1|CDC42EP4|ARHGAP8|NGEF|PLEKHG4|PLEKHG3|ARFGAP3|FILIP1|ARHGEF16|ARHGEF4|ARMCX3|ARHGEF10L|PLEKHG6|STEAP3|ARHGEF40|CCDC88A|BAIAP2L1|VANGL2|PLEKHG1|SRGAP1|DOCK6|SH3RF1|ARHGAP10|PEAK1|ARHGAP24|RHPN2|ARHGAP12|RHPN1|ARHGAP33|WDR81|PLEKHG4B|RHOV|ARL13B|FAM83B|POTEE,-5.7,LN_meta
Reactome Gene Sets,6,R-HSA-421270,Cell-cell junction organization,,-7,3.5,6.6,28162,64,2791,22,0.79,0.17,283|1009|1013|1364|1365|1366|1500|3728|5819|7122|9069|9071|9073|23562|53842|56288|57863|81607|92359|149461|221935|253559,ANG|CDH11|CDH15|CLDN4|CLDN3|CLDN7|CTNND1|JUP|NECTIN2|CLDN5|CLDN12|CLDN10|CLDN8|CLDN14|CLDN22|PARD3|CADM3|NECTIN4|CRB3|CLDN19|SDK1|CADM2,-5.7,LN_meta
KEGG Pathway,24,ko04933,AGE-RAGE signaling pathway in diabetic complications,,-6.7,2.9,6.1,28162,99,2791,28,1,0.19,185|208|595|1019|1278|1281|1282|1284|1285|2277|2335|3383|3569|3725|4088|5292|5332|5333|5335|5580|5599|5602|6300|7043|7056|7422|23236|51196,AGTR1|AKT2|CCND1|CDK4|COL1A2|COL3A1|COL4A1|COL4A2|COL4A3|VEGFD|FN1|ICAM1|IL6|JUN|SMAD3|PIM1|PLCB4|PLCD1|PLCG1|PRKCD|MAPK8|MAPK10|MAPK12|TGFB3|THBD|VEGFA|PLCB1|PLCE1,-5.3,LN_meta
Reactome Gene Sets,6,R-HSA-2129379,Molecules associated with elastic fibres,,-6.7,4.2,6.6,28162,38,2791,16,0.57,0.14,652|2006|2199|2201|2335|3696|4053|4054|4237|4239|7043|8425|8516|10516|11117|30008,BMP4|ELN|FBLN2|FBN2|FN1|ITGB8|LTBP2|LTBP3|MFAP2|MFAP4|TGFB3|LTBP4|ITGA8|FBLN5|EMILIN1|EFEMP2,-5.3,LN_meta
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-6.6,1.7,5.5,28162,621,2791,102,3.7,0.36,12|25|88|151|284|351|388|547|747|928|948|967|1191|1278|1607|1608|1675|1795|1950|2159|2161|2268|2277|2335|2621|2627|2788|2812|2817|2886|2888|2983|3020|3066|3479|3671|3797|3959|4072|4097|4680|4843|4973|5104|5265|5269|5327|5329|5335|5345|5580|6383|6414|6546|6678|6714|6850|7018|7035|7043|7044|7056|7076|7102|7123|7280|7414|7422|7465|7846|8515|9056|9123|9463|9732|10019|10184|10242|10381|10382|10461|11343|23095|23414|23468|23657|26090|27154|29789|30846|50940|54210|55083|55604|55669|57572|64780|83700|90990|94121|347733|374354,SERPINA3|ABL1|ACTN2|ADRA2B|ANGPT1|APP|RHOB|KIF1A|DAGLA|CD9|CD36|CD63|CLU|COL1A2|DGKB|DGKG|CFD|DOCK3|EGF|F10|F12|FGR|VEGFD|FN1|GAS6|GATA6|GNG7|GP1BB|GPC1|GRB7|GRB14|GUCY1B1|H3-3A|HDAC2|IGF1|ISLR|KIF3C|LGALS3BP|EPCAM|MAFG|CEACAM6|NOS2|OLR1|SERPINA5|SERPINA1|SERPINB6|PLAT|PLAUR|PLCG1|SERPINF2|PRKCD|SDC2|SELENOP|SLC8A1|SPARC|SRC|SYK|TF|TFPI|TGFB3|LEFTY2|THBD|TIMP1|TSPAN7|CLEC3B|TUBB2A|VCL|VEGFA|WEE1|TUBA1A|ITGA10|SLC7A7|SLC16A3|PICK1|DOCK4|SH2B3|LHFPL2|KCNMB2|TUBB3|TUBB4A|MERTK|MGLL|KIF1B|ZFPM2|CBX5|SLC7A11|ABHD12|BRPF3|OLA1|EHD2|PDE11A|TREM1|KIF26B|CARMIL1|MFN1|DOCK6|MICAL1|JAM3|KIFC2|SYTL4|TUBB2B|NHLRC2,-5.3,LN_meta
Reactome Gene Sets,6,R-HSA-211945,Phase I - Functionalization of compounds,,-6.5,2.8,6,28162,106,2791,29,1,0.19,124|125|126|131|216|217|218|874|1066|1545|1559|1562|1565|1580|1592|1593|1594|1727|2052|2326|4051|4835|5443|5740|8639|9915|54498|55902|57834,ADH1A|ADH1B|ADH1C|ADH7|ALDH1A1|ALDH2|ALDH3A1|CBR3|CES1|CYP1B1|CYP2C9|CYP2C18|CYP2D6|CYP4B1|CYP26A1|CYP27A1|CYP27B1|CYB5R3|EPHX1|FMO1|CYP4F3|NQO2|POMC|PTGIS|AOC3|ARNT2|SMOX|ACSS2|CYP4F11,-5.2,LN_meta
KEGG Pathway,24,hsa04933,AGE-RAGE signaling pathway in diabetic complications,,-6.4,2.7,6,28162,107,2791,29,1,0.19,183|185|208|595|1019|1278|1281|1282|1284|1285|2277|2335|3383|3569|3725|4088|5292|5332|5333|5335|5580|5599|5602|6300|7043|7056|7422|23236|51196,AGT|AGTR1|AKT2|CCND1|CDK4|COL1A2|COL3A1|COL4A1|COL4A2|COL4A3|VEGFD|FN1|ICAM1|IL6|JUN|SMAD3|PIM1|PLCB4|PLCD1|PLCG1|PRKCD|MAPK8|MAPK10|MAPK12|TGFB3|THBD|VEGFA|PLCB1|PLCE1,-5.1,LN_meta
Reactome Gene Sets,6,R-HSA-446728,Cell junction organization,,-6.3,2.9,6,28162,91,2791,26,0.93,0.18,283|1009|1013|1364|1365|1366|1500|2318|3728|5339|5819|7122|9069|9071|9073|10979|23562|53842|55742|56288|57863|81607|92359|149461|221935|253559,ANG|CDH11|CDH15|CLDN4|CLDN3|CLDN7|CTNND1|FLNC|JUP|PLEC|NECTIN2|CLDN5|CLDN12|CLDN10|CLDN8|FERMT2|CLDN14|CLDN22|PARVA|PARD3|CADM3|NECTIN4|CRB3|CLDN19|SDK1|CADM2,-5,LN_meta
Reactome Gene Sets,6,R-HSA-1566948,Elastic fibre formation,,-6.2,3.8,6.3,28162,45,2791,17,0.61,0.15,652|2006|2199|2201|2335|3696|4016|4053|4054|4237|4239|7043|8425|8516|10516|11117|30008,BMP4|ELN|FBLN2|FBN2|FN1|ITGB8|LOXL1|LTBP2|LTBP3|MFAP2|MFAP4|TGFB3|LTBP4|ITGA8|FBLN5|EMILIN1|EFEMP2,-4.9,LN_meta
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-6.2,2.1,5.6,28162,218,2791,46,1.6,0.24,208|286|287|595|859|967|1514|1839|1956|2017|2064|2065|2099|2194|2258|2260|2318|2335|2549|2719|2817|3316|3339|3479|3569|4609|5329|5335|5727|6300|6383|6714|7099|7422|7474|7481|7483|8324|11211|23624|51196|54498|81029|81578|406991|728378,AKT2|ANK1|ANK2|CCND1|CAV3|CD63|CTSL|HBEGF|EGFR|CTTN|ERBB2|ERBB3|ESR1|FASN|FGF13|FGFR1|FLNC|FN1|GAB1|GPC3|GPC1|HSPB2|HSPG2|IGF1|IL6|MYC|PLAUR|PLCG1|PTCH1|MAPK12|SDC2|SRC|TLR4|VEGFA|WNT5A|WNT11|WNT9A|FZD7|FZD10|CBLC|PLCE1|SMOX|WNT5B|COL21A1|MIR21|POTEF,-4.9,LN_meta
Reactome Gene Sets,6,R-HSA-1474228,Degradation of the extracellular matrix,,-6.2,2.5,5.7,28162,140,2791,34,1.2,0.21,726|827|1278|1281|1282|1284|1285|1291|1292|1293|1295|1300|1302|1306|1514|1991|2006|2201|2335|3339|3911|4316|4320|4323|4811|5650|6696|7076|7093|7373|9507|9510|50859|222663,CAPN5|CAPN6|COL1A2|COL3A1|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|COL8A1|COL10A1|COL11A2|COL15A1|CTSL|ELANE|ELN|FBN2|FN1|HSPG2|LAMA5|MMP7|MMP11|MMP14|NID1|KLK7|SPP1|TIMP1|TLL2|COL14A1|ADAMTS4|ADAMTS1|SPOCK3|SCUBE3,-4.9,LN_meta
KEGG Pathway,24,ko05150,Staphylococcus aureus infection,,-6,3.4,6,28162,56,2791,19,0.68,0.16,712|713|714|717|718|720|728|1675|2209|2212|2213|2214|2215|2359|3111|3112|3117|3383|9103,C1QA|C1QB|C1QC|C2|C3|C4A|C5AR1|CFD|FCGR1A|FCGR2A|FCGR2B|FCGR3A|FCGR3B|FPR3|HLA-DOA|HLA-DOB|HLA-DQA1|ICAM1|FCGR2C,-4.8,LN_meta
KEGG Pathway,24,hsa03320,PPAR signaling pathway ,,-6,3.1,5.9,28162,72,2791,22,0.79,0.17,33|51|948|1375|1593|2167|2170|3158|4023|4199|4973|5106|5360|5468|8309|9415|10062|28965|51129|376497|440503|729359,ACADL|ACOX1|CD36|CPT1B|CYP27A1|FABP4|FABP3|HMGCS2|LPL|ME1|OLR1|PCK2|PLTP|PPARG|ACOX2|FADS2|NR1H3|SLC27A6|ANGPTL4|SLC27A1|PLIN5|PLIN4,-4.7,LN_meta
KEGG Pathway,24,ko03320,PPAR signaling pathway,,-6,3.1,5.9,28162,72,2791,22,0.79,0.17,33|51|948|1375|1593|2167|2170|3158|4023|4199|4973|5106|5360|5468|8309|9415|10062|28965|51129|376497|440503|729359,ACADL|ACOX1|CD36|CPT1B|CYP27A1|FABP4|FABP3|HMGCS2|LPL|ME1|OLR1|PCK2|PLTP|PPARG|ACOX2|FADS2|NR1H3|SLC27A6|ANGPTL4|SLC27A1|PLIN5|PLIN4,-4.7,LN_meta
KEGG Pathway,24,ko04310,Wnt signaling pathway,,-6,2.4,5.6,28162,143,2791,34,1.2,0.21,595|1856|1857|2239|3725|4040|4041|4088|4316|4609|4776|5176|5332|5599|5602|5881|6422|6423|6424|7474|7481|7483|8061|8324|11211|22943|23236|23500|25805|57216|59343|81029|85409|144165,CCND1|DVL2|DVL3|GPC4|JUN|LRP6|LRP5|SMAD3|MMP7|MYC|NFATC4|SERPINF1|PLCB4|MAPK8|MAPK10|RAC3|SFRP1|SFRP2|SFRP4|WNT5A|WNT11|WNT9A|FOSL1|FZD7|FZD10|DKK1|PLCB1|DAAM2|BAMBI|VANGL2|SENP2|WNT5B|NKD2|PRICKLE1,-4.7,LN_meta
KEGG Pathway,24,hsa04310,Wnt signaling pathway ,,-6,2.4,5.6,28162,143,2791,34,1.2,0.21,595|1856|1857|2239|3725|4040|4041|4088|4316|4609|4776|5176|5332|5599|5602|5881|6422|6423|6424|7474|7481|7483|8061|8324|11211|22943|23236|23500|25805|57216|59343|81029|85409|144165,CCND1|DVL2|DVL3|GPC4|JUN|LRP6|LRP5|SMAD3|MMP7|MYC|NFATC4|SERPINF1|PLCB4|MAPK8|MAPK10|RAC3|SFRP1|SFRP2|SFRP4|WNT5A|WNT11|WNT9A|FOSL1|FZD7|FZD10|DKK1|PLCB1|DAAM2|BAMBI|VANGL2|SENP2|WNT5B|NKD2|PRICKLE1,-4.7,LN_meta
Reactome Gene Sets,6,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,,-6,3.2,5.9,28162,67,2791,21,0.75,0.16,871|1278|1281|1282|1284|1285|1291|1292|1293|1295|1300|1302|1306|5118|5351|7093|7373|10491|10536|26577|81578,SERPINH1|COL1A2|COL3A1|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|COL8A1|COL10A1|COL11A2|COL15A1|PCOLCE|PLOD1|TLL2|COL14A1|CRTAP|P3H3|PCOLCE2|COL21A1,-4.7,LN_meta
Reactome Gene Sets,6,R-HSA-373760,L1CAM interactions,,-5.9,2.5,5.6,28162,119,2791,30,1.1,0.2,160|214|286|287|1211|1742|1759|1956|2048|2260|2596|4684|6324|6329|6330|6332|6335|6711|6712|6714|7280|7846|8515|8829|10381|10382|23114|57698|347733|100133941,AP2A1|ALCAM|ANK1|ANK2|CLTA|DLG4|DNM1|EGFR|EPHB2|FGFR1|GAP43|NCAM1|SCN1B|SCN4A|SCN4B|SCN7A|SCN9A|SPTBN1|SPTBN2|SRC|TUBB2A|TUBA1A|ITGA10|NRP1|TUBB3|TUBB4A|NFASC|SHTN1|TUBB2B|CD24,-4.7,LN_meta
KEGG Pathway,24,ko05414,Dilated cardiomyopathy,,-5.9,2.8,5.7,28162,90,2791,25,0.9,0.18,70|111|775|776|781|785|1605|1674|3479|3679|3696|3908|4633|5350|6442|6444|6445|6546|7043|7137|7168|7169|8515|8516|22801,ACTC1|ADCY5|CACNA1C|CACNA1D|CACNA2D1|CACNB4|DAG1|DES|IGF1|ITGA7|ITGB8|LAMA2|MYL2|PLN|SGCA|SGCD|SGCG|SLC8A1|TGFB3|TNNI3|TPM1|TPM2|ITGA10|ITGA8|ITGA11,-4.6,LN_meta
KEGG Pathway,24,hsa05414,Dilated cardiomyopathy ,,-5.9,2.8,5.7,28162,90,2791,25,0.9,0.18,70|111|775|776|781|785|1605|1674|3479|3679|3696|3908|4633|5350|6442|6444|6445|6546|7043|7137|7168|7169|8515|8516|22801,ACTC1|ADCY5|CACNA1C|CACNA1D|CACNA2D1|CACNB4|DAG1|DES|IGF1|ITGA7|ITGB8|LAMA2|MYL2|PLN|SGCA|SGCD|SGCG|SLC8A1|TGFB3|TNNI3|TPM1|TPM2|ITGA10|ITGA8|ITGA11,-4.6,LN_meta
Reactome Gene Sets,6,R-HSA-1474290,Collagen formation,,-5.9,2.8,5.7,28162,90,2791,25,0.9,0.18,871|1278|1281|1282|1284|1285|1291|1292|1293|1295|1300|1302|1306|1514|4016|4316|5118|5339|5351|7093|7373|10491|10536|26577|81578,SERPINH1|COL1A2|COL3A1|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|COL8A1|COL10A1|COL11A2|COL15A1|CTSL|LOXL1|MMP7|PCOLCE|PLEC|PLOD1|TLL2|COL14A1|CRTAP|P3H3|PCOLCE2|COL21A1,-4.6,LN_meta
Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-5.8,1.6,5,28162,719,2791,111,4,0.37,25|27|29|70|224|388|395|898|1080|1627|1730|1742|1780|1795|1829|1856|1857|2017|2873|2886|3012|3020|3619|3728|4629|4688|5217|5580|5756|5881|6242|6711|6714|7204|7280|7431|7532|7846|7919|8337|8341|8349|8365|8476|8976|8997|9181|9322|9578|9590|9732|9754|9826|9828|9886|10144|10152|10211|10276|10298|10381|10382|10435|10458|10787|10810|10979|11135|22836|23129|23580|23779|25791|25894|26030|26286|27145|27237|50649|51517|51566|55160|55200|55240|55669|55701|55704|55766|55971|57216|57480|57522|57572|57630|79658|79784|79834|83478|85236|85415|94134|114822|115703|124997|153478|171177|200894|222584|347733|445582|723790,ABL1|ABL2|ABR|ACTC1|ALDH3A2|RHOB|ARHGAP6|CCNE1|CFTR|DBN1|DIAPH2|DLG4|DYNC1I1|DOCK3|DSG2|DVL2|DVL3|CTTN|GPS1|GRB7|H2AC8|H3-3A|INCENP|JUP|MYH11|NCF2|PFN2|PRKCD|TWF1|RAC3|RTKN|SPTBN1|SRC|TRIO|TUBB2A|VIM|YWHAG|TUBA1A|DDX39B|H2AC18|H2BC15|H2BC21|H4C8|CDC42BPA|WASL|KALRN|ARHGEF2|TRIP10|CDC42BPB|AKAP12|DOCK4|STARD8|ARHGEF11|ARHGEF17|RHOBTB1|FAM13A|ABI2|FLOT1|NET1|PAK4|TUBB3|TUBB4A|CDC42EP2|BAIAP2|NCKAP1|WASF3|FERMT2|CDC42EP1|RHOBTB3|PLXND1|CDC42EP4|ARHGAP8|NGEF|PLEKHG4|PLEKHG3|ARFGAP3|FILIP1|ARHGEF16|ARHGEF4|NCKIPSD|ARMCX3|ARHGEF10L|PLEKHG6|STEAP3|MFN1|ARHGEF40|CCDC88A|H2AJ|BAIAP2L1|VANGL2|PLEKHG1|SRGAP1|DOCK6|SH3RF1|ARHGAP10|MYH14|PEAK1|ARHGAP24|H2BC12|RHPN2|ARHGAP12|RHPN1|ARHGAP33|WDR81|PLEKHG4B|RHOV|ARL13B|FAM83B|TUBB2B|POTEE|H2AC19,-4.6,LN_meta
KEGG Pathway,24,ko04145,Phagosome,,-5.6,2.3,5.3,28162,154,2791,35,1.3,0.21,525|535|718|929|948|949|1311|1514|1780|2209|2212|2213|2214|2215|3111|3112|3117|4360|4481|4688|4973|7059|7060|7099|7280|7846|9103|9902|10381|10382|30835|50617|81035|203068|347733,ATP6V1B1|ATP6V0A1|C3|CD14|CD36|SCARB1|COMP|CTSL|DYNC1I1|FCGR1A|FCGR2A|FCGR2B|FCGR3A|FCGR3B|HLA-DOA|HLA-DOB|HLA-DQA1|MRC1|MSR1|NCF2|OLR1|THBS3|THBS4|TLR4|TUBB2A|TUBA1A|FCGR2C|MRC2|TUBB3|TUBB4A|CD209|ATP6V0A4|COLEC12|TUBB|TUBB2B,-4.4,LN_meta
Reactome Gene Sets,6,R-HSA-975634,Retinoid metabolism and transport,,-5.6,3.7,5.9,28162,44,2791,16,0.57,0.14,348|1109|1645|2239|2719|2817|3339|4023|4035|5950|6383|9227|10082|26020|29967|57016,APOE|AKR1C4|AKR1C1|GPC4|GPC3|GPC1|HSPG2|LPL|LRP1|RBP4|SDC2|LRAT|GPC6|LRP10|LRP12|AKR1B10,-4.4,LN_meta
Reactome Gene Sets,6,R-HSA-1500931,Cell-Cell communication,,-5.6,2.4,5.4,28162,129,2791,31,1.1,0.2,88|283|1009|1013|1364|1365|1366|1500|2318|3728|5339|5819|6711|6714|7122|8976|9069|9071|9073|10979|23562|53842|55243|55742|56288|57863|81607|92359|149461|221935|253559,ACTN2|ANG|CDH11|CDH15|CLDN4|CLDN3|CLDN7|CTNND1|FLNC|JUP|PLEC|NECTIN2|SPTBN1|SRC|CLDN5|WASL|CLDN12|CLDN10|CLDN8|FERMT2|CLDN14|CLDN22|KIRREL1|PARVA|PARD3|CADM3|NECTIN4|CRB3|CLDN19|SDK1|CADM2,-4.4,LN_meta
Reactome Gene Sets,6,R-HSA-114608,Platelet degranulation ,,-5.6,2.4,5.4,28162,129,2791,31,1.1,0.2,12|88|351|928|948|967|1191|1675|1950|2277|2335|2621|3479|3671|3959|5265|5345|6414|6678|7018|7043|7044|7076|7123|7414|7422|10184|27154|29789|94121|374354,SERPINA3|ACTN2|APP|CD9|CD36|CD63|CLU|CFD|EGF|VEGFD|FN1|GAS6|IGF1|ISLR|LGALS3BP|SERPINA1|SERPINF2|SELENOP|SPARC|TF|TGFB3|LEFTY2|TIMP1|CLEC3B|VCL|VEGFA|LHFPL2|BRPF3|OLA1|SYTL4|NHLRC2,-4.4,LN_meta
KEGG Pathway,24,hsa04145,Phagosome,,-5.6,2.2,5.3,28162,168,2791,37,1.3,0.22,525|535|718|929|948|949|1311|1514|1780|2209|2212|2213|2214|2215|3111|3112|3117|4360|4481|4688|4973|7059|7060|7099|7280|7846|9103|9902|10381|10382|30835|50617|81035|144165|203068|347733|728378,ATP6V1B1|ATP6V0A1|C3|CD14|CD36|SCARB1|COMP|CTSL|DYNC1I1|FCGR1A|FCGR2A|FCGR2B|FCGR3A|FCGR3B|HLA-DOA|HLA-DOB|HLA-DQA1|MRC1|MSR1|NCF2|OLR1|THBS3|THBS4|TLR4|TUBB2A|TUBA1A|FCGR2C|MRC2|TUBB3|TUBB4A|CD209|ATP6V0A4|COLEC12|PRICKLE1|TUBB|TUBB2B|POTEF,-4.4,LN_meta
Reactome Gene Sets,6,R-HSA-5173105,O-linked glycosylation,,-5.6,2.5,5.4,28162,111,2791,28,1,0.19,1605|4582|4585|4589|6484|8693|9215|9245|9507|9510|10331|54437|54507|57188|57452|79623|81792|81794|84197|84752|84892|93010|94025|117248|143662|157869|200958|727897,DAG1|MUC1|MUC4|MUC7|ST3GAL4|GALNT4|LARGE1|GCNT3|ADAMTS4|ADAMTS1|B3GNT3|SEMA5B|ADAMTSL4|ADAMTSL3|GALNT16|GALNT14|ADAMTS12|ADAMTS10|POMK|B3GNT9|POMGNT2|B3GNT7|MUC16|GALNT15|MUC15|SBSPON|MUC20|MUC5B,-4.4,LN_meta
Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-5.6,1.6,4.9,28162,703,2791,108,3.9,0.37,25|27|29|70|224|388|395|1080|1627|1730|1742|1780|1795|1829|1856|1857|2017|2873|2886|3012|3020|3619|3728|4629|4688|5217|5580|5756|5881|6242|6711|6714|7204|7280|7431|7532|7846|7919|8337|8341|8349|8365|8476|8976|8997|9181|9322|9578|9590|9732|9754|9826|9828|9886|10144|10152|10211|10276|10298|10381|10382|10435|10458|10787|10810|10979|11135|23129|23580|23779|25791|25894|26030|26286|27145|27237|50649|51517|51566|55160|55200|55240|55701|55704|55766|55971|57216|57480|57522|57572|57630|79658|79784|79834|83478|85236|85415|94134|114822|115703|124997|153478|171177|200894|222584|347733|445582|723790,ABL1|ABL2|ABR|ACTC1|ALDH3A2|RHOB|ARHGAP6|CFTR|DBN1|DIAPH2|DLG4|DYNC1I1|DOCK3|DSG2|DVL2|DVL3|CTTN|GPS1|GRB7|H2AC8|H3-3A|INCENP|JUP|MYH11|NCF2|PFN2|PRKCD|TWF1|RAC3|RTKN|SPTBN1|SRC|TRIO|TUBB2A|VIM|YWHAG|TUBA1A|DDX39B|H2AC18|H2BC15|H2BC21|H4C8|CDC42BPA|WASL|KALRN|ARHGEF2|TRIP10|CDC42BPB|AKAP12|DOCK4|STARD8|ARHGEF11|ARHGEF17|RHOBTB1|FAM13A|ABI2|FLOT1|NET1|PAK4|TUBB3|TUBB4A|CDC42EP2|BAIAP2|NCKAP1|WASF3|FERMT2|CDC42EP1|PLXND1|CDC42EP4|ARHGAP8|NGEF|PLEKHG4|PLEKHG3|ARFGAP3|FILIP1|ARHGEF16|ARHGEF4|NCKIPSD|ARMCX3|ARHGEF10L|PLEKHG6|STEAP3|ARHGEF40|CCDC88A|H2AJ|BAIAP2L1|VANGL2|PLEKHG1|SRGAP1|DOCK6|SH3RF1|ARHGAP10|MYH14|PEAK1|ARHGAP24|H2BC12|RHPN2|ARHGAP12|RHPN1|ARHGAP33|WDR81|PLEKHG4B|RHOV|ARL13B|FAM83B|TUBB2B|POTEE|H2AC19,-4.4,LN_meta
KEGG Pathway,24,ko04380,Osteoclast differentiation,,-5.5,2.4,5.3,28162,130,2791,31,1.1,0.2,208|799|1436|2209|2212|2213|2214|2215|2354|3460|3725|4688|5468|5599|5602|6300|6688|6850|7006|7132|8061|8878|9021|9103|9846|10288|10990|11006|11027|79168|126014,AKT2|CALCR|CSF1R|FCGR1A|FCGR2A|FCGR2B|FCGR3A|FCGR3B|FOSB|IFNGR2|JUN|NCF2|PPARG|MAPK8|MAPK10|MAPK12|SPI1|SYK|TEC|TNFRSF1A|FOSL1|SQSTM1|SOCS3|FCGR2C|GAB2|LILRB2|LILRB5|LILRB4|LILRA2|LILRA6|OSCAR,-4.3,LN_meta
